StationCode,Name,Lat,Lon,WebSite,RawData,FileName,From,To
235,Castricum,52.53,4.65,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=235,https://climexp.knmi.nl/data/rrrr235.dat,rrrr235.data,19270701,20230310
834,Chaam,51.5,4.87,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=834,https://climexp.knmi.nl/data/rrrr834.dat,rrrr834.data,19110902,20230310
297,Coevorden,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=297,https://climexp.knmi.nl/data/rrrr297.dat,rrrr297.data,19100521,19390201
685,Corle,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=685,https://climexp.knmi.nl/data/rrrr685.dat,rrrr685.data,19800101,19951231
959,Craubeek,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=959,https://climexp.knmi.nl/data/rrrr959.dat,rrrr959.data,19340802,19521130
549,Culemborg,51.92,5.22,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=549,https://climexp.knmi.nl/data/rrrr549.dat,rrrr549.data,19091007,20230310
299,Dalmsholte,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=299,https://climexp.knmi.nl/data/rrrr299.dat,rrrr299.data,18880401,19350430
468,De Beer,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=468,https://climexp.knmi.nl/data/rrrr468.dat,rrrr468.data,19520401,19581018
550,De Bilt,52.1,5.17,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=550,https://climexp.knmi.nl/data/rrrr550.dat,rrrr550.data,18970102,20230310
019,De Cocksdorp,53.15,4.87,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=019,https://climexp.knmi.nl/data/rrrr019.dat,rrrr019.data,19290701,20230310
354,Dedemsvaart,52.58,6.43,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=354,https://climexp.knmi.nl/data/rrrr354.dat,rrrr354.data,19490301,20230310
591,Deelen,52.05,5.88,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=591,https://climexp.knmi.nl/data/rrrr591.dat,rrrr591.data,19710101,20230310
238,De Haukes,52.87,4.93,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=238,https://climexp.knmi.nl/data/rrrr238.dat,rrrr238.data,19330901,20230310
600,Deil,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=600,https://climexp.knmi.nl/data/rrrr600.dat,rrrr600.data,19270801,19510101
022,De Koog,53.08,4.77,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=022,https://climexp.knmi.nl/data/rrrr022.dat,rrrr022.data,19500715,20230310
025,De Kooy,52.9,4.78,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=025,https://climexp.knmi.nl/data/rrrr025.dat,rrrr025.data,19580331,20230310
449,Delft,52,4.37,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=449,https://climexp.knmi.nl/data/rrrr449.dat,rrrr449.data,19041102,20230310
141,Delfzijl,53.32,6.93,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=141,https://climexp.knmi.nl/data/rrrr141.dat,rrrr141.data,18720401,20230310
286,Delle,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=286,https://climexp.knmi.nl/data/rrrr286.dat,rrrr286.data,18660901,18790401
447,Den Bommel,51.72,4.28,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=447,https://climexp.knmi.nl/data/rrrr447.dat,rrrr447.data,18920529,20230310
017,Den Burg,53.05,4.8,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=017,https://climexp.knmi.nl/data/rrrr017.dat,rrrr017.data,18941121,20230310
331,Denekamp,52.37,7.03,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=331,https://climexp.knmi.nl/data/rrrr331.dat,rrrr331.data,19040901,20230310
418,Den Haag,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=418,https://climexp.knmi.nl/data/rrrr418.dat,rrrr418.data,19080201,19110930
009,Den Helder,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=009,https://climexp.knmi.nl/data/rrrr009.dat,rrrr009.data,18510101,19730101
303,Den Hulst Ov,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=303,https://climexp.knmi.nl/data/rrrr303.dat,rrrr303.data,19241001,19460501
239,Den Oever,52.92,5.02,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=239,https://climexp.knmi.nl/data/rrrr239.dat,rrrr239.data,19330619,20230310
760,Des Heerenhoek,51.47,3.77,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=760,https://climexp.knmi.nl/data/rrrr760.dat,rrrr760.data,19500902,20230310
526,De Steeg,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=526,https://climexp.knmi.nl/data/rrrr526.dat,rrrr526.data,19140418,19210131
908,Deurne,51.45,5.77,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=908,https://climexp.knmi.nl/data/rrrr908.dat,rrrr908.data,19290513,20230310
677,Deventer,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=677,https://climexp.knmi.nl/data/rrrr677.dat,rrrr677.data,19490605,20060202
689,Deventer,52.25,6.22,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=689,https://climexp.knmi.nl/data/rrrr689.dat,rrrr689.data,20060201,20230310
289,De Wijk Dr,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=289,https://climexp.knmi.nl/data/rrrr289.dat,rrrr289.data,18880101,19030430
911,Dinther,51.63,5.48,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=911,https://climexp.knmi.nl/data/rrrr911.dat,rrrr911.data,19340622,20230310
462,Dirksland,51.73,4.08,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=462,https://climexp.knmi.nl/data/rrrr462.dat,rrrr462.data,19370802,20230310
667,Doetinchem,51.98,6.28,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=667,https://climexp.knmi.nl/data/rrrr667.dat,rrrr667.data,18830303,20230310
067,Dokkum,53.32,5.97,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=067,https://climexp.knmi.nl/data/rrrr067.dat,rrrr067.data,18880201,20230310
056,Dokkumer Nieuwe Zijlen,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=056,https://climexp.knmi.nl/data/rrrr056.dat,rrrr056.data,19310501,19370430
716,Domburg,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=716,https://climexp.knmi.nl/data/rrrr716.dat,rrrr716.data,18810302,18880901
509,Doorn,52.05,5.32,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=509,https://climexp.knmi.nl/data/rrrr509.dat,rrrr509.data,19890101,20230310
527,Doorn (Kasteel),-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=527,https://climexp.knmi.nl/data/rrrr527.dat,rrrr527.data,19240102,19410501
459,Dordrecht,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=459,https://climexp.knmi.nl/data/rrrr459.dat,rrrr459.data,19261217,20040430
073,Drachten,53.1,6.1,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=073,https://climexp.knmi.nl/data/rrrr073.dat,rrrr073.data,19260601,20230310
721,Dreischor,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=721,https://climexp.knmi.nl/data/rrrr721.dat,rrrr721.data,18890725,19031031
566,Driebergen,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=566,https://climexp.knmi.nl/data/rrrr566.dat,rrrr566.data,19200402,19540720
051,Drogeham,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=051,https://climexp.knmi.nl/data/rrrr051.dat,rrrr051.data,19061114,19111130
364,Dronten,52.53,5.85,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=364,https://climexp.knmi.nl/data/rrrr364.dat,rrrr364.data,19590101,20210828
423,Duindag bij den Haag,-999.9,-999.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=423,https://climexp.knmi.nl/data/rrrr423.dat,rrrr423.data,19170101,19300125
588,Duiven,51.95,6.02,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=588,https://climexp.knmi.nl/data/rrrr588.dat,rrrr588.data,19530201,20230310
327,Dwingelo,52.82,6.4,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=327,https://climexp.knmi.nl/data/rrrr327.dat,rrrr327.data,18911001,20230310
979,Echt,51.08,5.9,https://climexp.knmi.nl/getdutchrr.cgi?id=someone@somewhere&WMO=979,https://climexp.knmi.nl/data/rrrr979.dat,rrrr979.data,19710101,20230310
